tick, news, price
34, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.57 
36, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.61 
37, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.53 
39, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.53 
40, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.61 
42, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.68 
43, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.72 
45, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.71 
46, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.66 
48, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.57 
49, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.55 
51, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.66 
52, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.67 
54, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.65 
55, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.66 
57, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.66 
58, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.68 
60, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.64 
61, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.7 
63, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.74 
65, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.74 
66, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.71 
68, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.89 
69, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.95 
71, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,000 PER LEASE., 98.92 
72, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,000 PER LEASE., 98.95 
74, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,000 PER LEASE., 98.88 
75, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,000 PER LEASE., 98.78 
77, OCCUPY FAIRBANKS ACTIVISTS CALL FOR PROTESTS NEAR FAIRBANKS, ALASKA-Occupy Fairbanks activists are calling for huge protests sometime this week in a bid to bring awareness to �how money is being spent�.  , 98.81 
78, OCCUPY FAIRBANKS ACTIVISTS CALL FOR PROTESTS NEAR FAIRBANKS, ALASKA-Occupy Fairbanks activists are calling for huge protests sometime this week in a bid to bring awareness to �how money is being spent�.  , 98.75 
80, OCCUPY FAIRBANKS ACTIVISTS CALL FOR PROTESTS NEAR FAIRBANKS, ALASKA-Occupy Fairbanks activists are calling for huge protests sometime this week in a bid to bring awareness to �how money is being spent�.  , 98.72 
81, OCCUPY FAIRBANKS ACTIVISTS CALL FOR PROTESTS NEAR FAIRBANKS, ALASKA-Occupy Fairbanks activists are calling for huge protests sometime this week in a bid to bring awareness to �how money is being spent�.  , 98.73 
83, OCCUPY FAIRBANKS ACTIVISTS CALL FOR PROTESTS NEAR FAIRBANKS, ALASKA-Occupy Fairbanks activists are calling for huge protests sometime this week in a bid to bring awareness to �how money is being spent�.  , 98.7 
84, LARGE OIL WELLS FOUND IN NORTHWEST TERRITORIES-Excavators discover the large oil deposit in Canada. It is expected to add an additional 1 MLN BBLS of crude oil to Canada's daily oil production., 98.75 
86, LARGE OIL WELLS FOUND IN NORTHWEST TERRITORIES-Excavators discover the large oil deposit in Canada. It is expected to add an additional 1 MLN BBLS of crude oil to Canada's daily oil production., 98.65 
87, LARGE OIL WELLS FOUND IN NORTHWEST TERRITORIES-Excavators discover the large oil deposit in Canada. It is expected to add an additional 1 MLN BBLS of crude oil to Canada's daily oil production., 98.56 
89, LARGE OIL WELLS FOUND IN NORTHWEST TERRITORIES-Excavators discover the large oil deposit in Canada. It is expected to add an additional 1 MLN BBLS of crude oil to Canada's daily oil production., 98.44 
90, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.32 
92, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.4 
93, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.37 
95, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.28 
96, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.36 
98, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.31 
99, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.31 
101, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.26 
102, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.18 
104, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.21 
105, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.28 
107, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.35 
108, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.32 
110, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.33 
111, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.35 
113, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.21 
114, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.23 
116, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.29 
117, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.31 
119, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.38 
120, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.35 
122, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.17 
123, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.13 
125, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.06 
126, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.0 
128, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.97 
129, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.93 
131, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.85 
132, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.82 
134, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.68 
136, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.71 
137, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.75 
139, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.63 
140, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.64 
142, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.76 
143, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.76 
145, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.83 
146, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.85 
148, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.94 
149, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.98 
151, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.02 
152, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.95 
154, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.92 
155, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.88 
157, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.77 
158, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.84 
160, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.91 
161, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.94 
163, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.96 
164, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 98.02 
166, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.97 
167, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.99 
169, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.97 
170, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.98 
172, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.95 
173, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.93 
175, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.85 
176, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.79 
178, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.67 
179, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.73 
181, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.67 
182, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.71 
184, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.62 
185, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.57 
187, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.62 
188, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.56 
190, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.52 
191, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.5 
193, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.37 
194, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.41 
196, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.4 
197, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.43 
199, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.48 
200, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.47 
202, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.33 
203, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.31 
205, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.32 
206, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.38 
208, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.3 
209, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.3 
211, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.33 
212, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.28 
214, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.26 
215, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.24 
217, WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS-WEEK 5 CL ACTUAL DRAW 11 MLN BBLS VS FORECAST BUILD 8 MLN BBLS, 97.22 
